11CM120SCBV|01/04/2554|31/03/2555|SCB|ธนาคารไทยพาณิชย์ จำกัด (มหาชน)|SCB030|ศูนย์เทคโนโลยีสารสนเทศ แจ้งวัฒนะ|VLC-505|B414915|AS
10S1065CATT|04/03/2554|03/03/2556|CAT|บริษัท กสท โทรคมนาคม จำกัด (มหาชน)|CAT00004|CAT-IDC ชั้น 14 อาคาร CAT Tower บางรัก|AEGIS|52506933|AS
10S1065CATT|04/03/2554|03/03/2556|CAT|บริษัท กสท โทรคมนาคม จำกัด (มหาชน)|CAT00004|CAT-IDC ชั้น 14 อาคาร CAT Tower บางรัก|AEGIS|52506955|AS
10S1065CATT|04/03/2554|03/03/2556|CAT|บริษัท กสท โทรคมนาคม จำกัด (มหาชน)|CAT00004|CAT-IDC ชั้น 14 อาคาร CAT Tower บางรัก|AEGIS|52507144|AS
10S1065CATT|04/03/2554|03/03/2556|CAT|บริษัท กสท โทรคมนาคม จำกัด (มหาชน)|CAT00004|CAT-IDC ชั้น 14 อาคาร CAT Tower บางรัก|AEGIS|52507188|AS
10S1065CATT|04/03/2554|03/03/2556|CAT|บริษัท กสท โทรคมนาคม จำกัด (มหาชน)|CAT00004|CAT-IDC ชั้น 14 อาคาร CAT Tower บางรัก|AEMC+AEC20|AEMC|AS
10S1065CATT|04/03/2554|03/03/2556|CAT|บริษัท กสท โทรคมนาคม จำกัด (มหาชน)|CAT00004|CAT-IDC ชั้น 14 อาคาร CAT Tower บางรัก|VLS-214|B8115168|AS
10S1065CATT|04/03/2554|03/03/2556|CAT|บริษัท กสท โทรคมนาคม จำกัด (มหาชน)|CAT00004|CAT-IDC ชั้น 14 อาคาร CAT Tower บางรัก|VLS-214|B81156817|AS
10S1065CATT|04/03/2554|03/03/2556|CAT|บริษัท กสท โทรคมนาคม จำกัด (มหาชน)|CAT00004|CAT-IDC ชั้น 14 อาคาร CAT Tower บางรัก|Xprotect|CCTV14กล้อง|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO00|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม3 ชั้น G|DESC-SCAN-2|124790|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO00|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม3 ชั้น G|DESC-SCAN-2|124793|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO02|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม 3 ชั้น 2|DESC-SCAN-2|124780|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO02|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม 3 ชั้น 2|DESC-SCAN-2|124789|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO02|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม 3 ชั้น 2|DESC-SCAN-2|B420159|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO04|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม3 ชั้น 4|DESC-SCAN-2|124775|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO04|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม3 ชั้น 4|DESC-SCAN-2|124776|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO04|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม3 ชั้น 4|DESC-SCAN-2|124786|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO04|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม3 ชั้น 4|DESC-SCAN-2|124787|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO04|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม3 ชั้น 4|VLS-304|B279038|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO04|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม3 ชั้น 4|VLS-304|B293400|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO04|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม3 ชั้น 4|VLS-304|B293409|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO04|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม3 ชั้น 4|DESC-SCAN-2|B413310|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO05|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม 3 ชั้น 5|DESC-SCAN-2|124778|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO05|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม 3 ชั้น 5|DESC-SCAN-2|124781|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO05|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม 3 ชั้น 5|DESC-SCAN-2|124785|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO05|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม 3 ชั้น 5|DESC-SCAN-2|124788|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO05|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม 3 ชั้น 5|DESC-SCAN-2|124791|AS
12CM030CITT|01/01/2555|31/12/2555|CITY|บริษัท ซิตี้เรียลตี้ จำกัด|BBLHO05|บมจ. ธนาคารกรุงเทพ อาคารสำนักงาน พระราม 3 ชั้น 5|DESC-SCAN-2|131563|AS
11CM325CDGT|01/10/2554|30/09/2555|CDG|บริษัท ซีดีจี ซิสเต็มส์ จำกัด|CDGS|กรมสวัสดิการและคุ้มครองแรงงาน กระทรวงแรงงาน ชั้น 15|AEC|062403134|AS
11CM325CDGT|01/10/2554|30/09/2555|CDG|บริษัท ซีดีจี ซิสเต็มส์ จำกัด|CDGS|กรมสวัสดิการและคุ้มครองแรงงาน กระทรวงแรงงาน ชั้น 15|VLS-214|B351989|AS
11CM325CDGT|01/10/2554|30/09/2555|CDG|บริษัท ซีดีจี ซิสเต็มส์ จำกัด|CDGS|กรมสวัสดิการและคุ้มครองแรงงาน กระทรวงแรงงาน ชั้น 15|SCORPIO|FSCP3|AS
11CM325CDGT|01/10/2554|30/09/2555|CDG|บริษัท ซีดีจี ซิสเต็มส์ จำกัด|CDGS|กรมสวัสดิการและคุ้มครองแรงงาน กระทรวงแรงงาน ชั้น 15|SCORPIO|FSCP4|AS
11CM315CDGT|01/10/2554|30/09/2555|CDG|บริษัท ซีดีจี ซิสเต็มส์ จำกัด|DOA|กรมการบินพลเรือน|TCU-700|041202596|AS
11CM315CDGT|01/10/2554|30/09/2555|CDG|บริษัท ซีดีจี ซิสเต็มส์ จำกัด|DOA|กรมการบินพลเรือน|VLC-505|B210205|AS
11CM106SEGV|01/03/2554|29/02/2555|SEGAT3|บริษัท ซีเกท เทคโนโลยี (ประเทศไทย) จำกัด|SEGAT03|เทพารักษ์ จ.สมุทรปราการ|10-036/039|10-038|AS
11CM106SEGV|01/03/2554|29/02/2555|SEGAT3|บริษัท ซีเกท เทคโนโลยี (ประเทศไทย) จำกัด|SEGAT03|เทพารักษ์ จ.สมุทรปราการ|SHP|SHP02|AS
11CM212TRDA|01/10/2554|30/09/2555|LTT|บริษัท ทรู อินเทอร์เน็ต จำกัด|LTT|ศูนย์คอมพิวเตอร์ ชั้น 17 อาคารฟอร์จูนทาวเวอร์|E700-CE4|104192|AS
11CM217TCCT|01/07/2554|28/02/2557|TCC|บริษัท ที.ซี.ซี.เทคโนโลยี จำกัด|BKP|อาคารบางกอกโพสต์|CCTV.|CCTV003|AS
10CM271TOTT|08/10/2553|07/10/2555|TOT|บริษัท ทีโอที จำกัด (มหาชน)|TOT059|TOT แจ้งวัฒนะ อาคาร 4 ชั้น 3|TCU-9000P|040502047|AS
10CM271TOTT|08/10/2553|07/10/2555|TOT|บริษัท ทีโอที จำกัด (มหาชน)|TOT059|TOT แจ้งวัฒนะ อาคาร 4 ชั้น 3|TCU-9000P|040502048|AS
10CM271TOTT|08/10/2553|07/10/2555|TOT|บริษัท ทีโอที จำกัด (มหาชน)|TOT059|TOT แจ้งวัฒนะ อาคาร 4 ชั้น 3|TCU-9000P|040502049|AS
10CM271TOTT|08/10/2553|07/10/2555|TOT|บริษัท ทีโอที จำกัด (มหาชน)|TOT059|TOT แจ้งวัฒนะ อาคาร 4 ชั้น 3|TCU-9000P|040502050|AS
10CM271TOTT|08/10/2553|07/10/2555|TOT|บริษัท ทีโอที จำกัด (มหาชน)|TOT059|TOT แจ้งวัฒนะ อาคาร 4 ชั้น 3|TCU-9000P|040502051|AS
10CM271TOTT|08/10/2553|07/10/2555|TOT|บริษัท ทีโอที จำกัด (มหาชน)|TOT059|TOT แจ้งวัฒนะ อาคาร 4 ชั้น 3|TCU-9000P|061002275|AS
10CM271TOTT|08/10/2553|07/10/2555|TOT|บริษัท ทีโอที จำกัด (มหาชน)|TOT059|TOT แจ้งวัฒนะ อาคาร 4 ชั้น 3|TCU-9000P|061002276|AS
10CM271TOTT|08/10/2553|07/10/2555|TOT|บริษัท ทีโอที จำกัด (มหาชน)|TOT059|TOT แจ้งวัฒนะ อาคาร 4 ชั้น 3|EGYS-SE 3000|SOCOMA673170027-B|AS
10CM271TOTT|08/10/2553|07/10/2555|TOT|บริษัท ทีโอที จำกัด (มหาชน)|TOT059|TOT แจ้งวัฒนะ อาคาร 4 ชั้น 3|EGYS-SE 1000|SOCOTA421170012-O|AS
10CM271TOTT|08/10/2553|07/10/2555|TOT|บริษัท ทีโอที จำกัด (มหาชน)|TOT069|ชุมสายโทรศัพท์กรุงเกษม ห้อง NSC ชั้น 1 อาคารเก่า|TCU-9000P|040502052|AS
